Scenario,Experiment,Solution_Number,obj1,obj2,obj3,load_init_1,load_after_1,reachable_1,total_sm_1,overload_init_1,curtailed_after_1,startFuse_init_1,startFuse_after_1,endFuse_init_1,endFuse_after_1,load_init_2,load_after_2,reachable_2,total_sm_2,overload_init_2,curtailed_after_2,startFuse_init_2,startFuse_after_2,endFuse_init_2,endFuse_after_2,load_init_3,load_after_3,reachable_3,total_sm_3,overload_init_3,curtailed_after_3,startFuse_init_3,startFuse_after_3,endFuse_init_3,endFuse_after_3,load_init_4,load_after_4,reachable_4,total_sm_4,overload_init_4,curtailed_after_4,startFuse_init_4,startFuse_after_4,endFuse_init_4,endFuse_after_4,load_init_5,load_after_5,reachable_5,total_sm_5,overload_init_5,curtailed_after_5,startFuse_init_5,startFuse_after_5,endFuse_init_5,endFuse_after_5,load_init_6,load_after_6,reachable_6,total_sm_6,overload_init_6,curtailed_after_6,startFuse_init_6,startFuse_after_6,endFuse_init_6,endFuse_after_6,load_init_7,load_after_7,reachable_7,total_sm_7,overload_init_7,curtailed_after_7,startFuse_init_7,startFuse_after_7,endFuse_init_7,endFuse_after_7,load_init_8,load_after_8,reachable_8,total_sm_8,overload_init_8,curtailed_after_8,startFuse_init_8,startFuse_after_8,endFuse_init_8,endFuse_after_8,load_init_9,load_after_9,reachable_9,total_sm_9,overload_init_9,curtailed_after_9,startFuse_init_9,startFuse_after_9,endFuse_init_9,endFuse_after_9,load_init_10,load_after_10,reachable_10,total_sm_10,overload_init_10,curtailed_after_10,startFuse_init_10,startFuse_after_10,endFuse_init_10,endFuse_after_10,load_init_11,load_after_11,reachable_11,total_sm_11,overload_init_11,curtailed_after_11,startFuse_init_11,startFuse_after_11,endFuse_init_11,endFuse_after_11,load_init_12,load_after_12,reachable_12,total_sm_12,overload_init_12,curtailed_after_12,startFuse_init_12,startFuse_after_12,endFuse_init_12,endFuse_after_12,load_init_13,load_after_13,reachable_13,total_sm_13,overload_init_13,curtailed_after_13,startFuse_init_13,startFuse_after_13,endFuse_init_13,endFuse_after_13,load_init_14,load_after_14,reachable_14,total_sm_14,overload_init_14,curtailed_after_14,startFuse_init_14,startFuse_after_14,endFuse_init_14,endFuse_after_14,load_init_15,load_after_15,reachable_15,total_sm_15,overload_init_15,curtailed_after_15,startFuse_init_15,startFuse_after_15,endFuse_init_15,endFuse_after_15,load_init_16,load_after_16,reachable_16,total_sm_16,overload_init_16,curtailed_after_16,startFuse_init_16,startFuse_after_16,endFuse_init_16,endFuse_after_16,load_init_17,load_after_17,reachable_17,total_sm_17,overload_init_17,curtailed_after_17,startFuse_init_17,startFuse_after_17,endFuse_init_17,endFuse_after_17,load_init_18,load_after_18,reachable_18,total_sm_18,overload_init_18,curtailed_after_18,startFuse_init_18,startFuse_after_18,endFuse_init_18,endFuse_after_18,load_init_19,load_after_19,reachable_19,total_sm_19,overload_init_19,curtailed_after_19,startFuse_init_19,startFuse_after_19,endFuse_init_19,endFuse_after_19,load_init_20,load_after_20,reachable_20,total_sm_20,overload_init_20,curtailed_after_20,startFuse_init_20,startFuse_after_20,endFuse_init_20,endFuse_after_20,load_init_21,load_after_21,reachable_21,total_sm_21,overload_init_21,curtailed_after_21,startFuse_init_21,startFuse_after_21,endFuse_init_21,endFuse_after_21,load_init_22,load_after_22,reachable_22,total_sm_22,overload_init_22,curtailed_after_22,startFuse_init_22,startFuse_after_22,endFuse_init_22,endFuse_after_22,load_init_23,load_after_23,reachable_23,total_sm_23,overload_init_23,curtailed_after_23,startFuse_init_23,startFuse_after_23,endFuse_init_23,endFuse_after_23,load_init_24,load_after_24,reachable_24,total_sm_24,overload_init_24,curtailed_after_24,startFuse_init_24,startFuse_after_24,endFuse_init_24,endFuse_after_24,load_init_25,load_after_25,reachable_25,total_sm_25,overload_init_25,curtailed_after_25,startFuse_init_25,startFuse_after_25,endFuse_init_25,endFuse_after_25,load_init_26,load_after_26,reachable_26,total_sm_26,overload_init_26,curtailed_after_26,startFuse_init_26,startFuse_after_26,endFuse_init_26,endFuse_after_26,load_init_27,load_after_27,reachable_27,total_sm_27,overload_init_27,curtailed_after_27,startFuse_init_27,startFuse_after_27,endFuse_init_27,endFuse_after_27,load_init_28,load_after_28,reachable_28,total_sm_28,overload_init_28,curtailed_after_28,startFuse_init_28,startFuse_after_28,endFuse_init_28,endFuse_after_28,load_init_29,load_after_29,reachable_29,total_sm_29,overload_init_29,curtailed_after_29,startFuse_init_29,startFuse_after_29,endFuse_init_29,endFuse_after_29,load_init_30,load_after_30,reachable_30,total_sm_30,overload_init_30,curtailed_after_30,startFuse_init_30,startFuse_after_30,endFuse_init_30,endFuse_after_30,load_init_31,load_after_31,reachable_31,total_sm_31,overload_init_31,curtailed_after_31,startFuse_init_31,startFuse_after_31,endFuse_init_31,endFuse_after_31
1,1,30,0.005406955555302256,2.0,0.022752595309092936,68.2198303910646,13.817170265403508,1,0,0,0,1,1,1,1,68.21983039106465,13.817170265403508,1,6,0,0,1,1,1,1,4.052011400462464,9.375650232450477,1,3,0,0,1,1,1,0,9.375650232450552,19.81585768896595,1,12,0,0,1,1,1,1,8.81000095185034,88.46898062279777,1,13,3,0,1,1,1,1,8.810000951850325,88.46898062279777,1,14,2,0,1,1,1,1,56.339665366463684,2.4438704291558055,1,2,0,0,1,1,1,1,80.16699041592426,21.278590793281964,1,8,0,0,1,1,1,1,1.2440733476152923,32.70671132770061,1,8,0,0,1,1,1,1,16.71309500431473,56.98993122485171,1,2,0,0,1,1,1,1,14.950576266296823,50.19818972407856,1,21,2,0,1,1,1,1,2.380976793206102,14.85386962595608,1,12,1,0,1,1,1,1,58.37653278596725,0.0,1,0,0,0,1,1,0,0,33.89097182682855,8.41014742354772,1,8,0,0,1,1,0,0,5.468397059129444,63.046800265547745,1,7,2,0,1,1,1,1,20.176727048193907,46.892380577272924,1,11,2,0,1,1,1,1,20.176727048193932,46.89238057727289,1,10,1,0,1,1,1,1,10.733230103478858,20.2618030646887,1,6,1,0,1,1,1,1,29.81127767384012,14.790177583043054,1,2,1,0,1,1,1,1,48.32524568000372,27.995029197673016,1,8,1,0,1,1,1,1,34.78101678078501,26.930666415879006,1,8,1,0,1,1,1,1,20.26180306468882,22.979137377711837,1,6,1,0,1,1,1,1,20.694535761794402,7.386674108441251,1,5,0,0,1,1,1,1,26.99852800013016,8.201084267765907,1,5,1,0,1,1,1,1,11.30528445712304,48.81159097458356,1,8,0,0,1,1,1,1,21.101837246414817,48.82477202096866,1,15,0,0,1,1,0,1,17.52542210673483,0.0,1,0,0,0,1,1,0,0,11.305284457122998,27.216348970300157,1,10,2,0,1,1,0,0,17.373846735015434,3.2514972792884125,1,1,0,0,1,1,1,1,24.49930849727879,4.686126228665062,1,0,0,0,1,1,1,1,22.76710409571983,6.980034172766859,1,8,0,0,1,1,1,1,371544.0
1,1,31,0.005299397470157908,1.0,0.022752595309092936,68.2198303910646,13.817170265403508,1,0,0,0,1,1,1,1,68.21983039106465,13.817170265403508,1,6,0,0,1,1,1,1,4.052011400462464,9.375650232450477,1,3,0,0,1,1,1,1,9.375650232450552,19.81585768896595,1,12,0,0,1,1,1,1,8.81000095185034,88.46898062279777,1,13,3,0,1,1,1,1,8.810000951850325,88.46898062279777,1,14,2,0,1,1,1,1,56.339665366463684,2.4438704291558055,1,2,0,0,1,1,1,1,80.16699041592426,21.278590793281964,1,8,0,0,1,1,1,1,1.2440733476152923,32.70671132770061,1,8,0,0,1,1,1,1,16.71309500431473,56.98993122485171,1,2,0,0,1,1,1,1,14.950576266296823,50.19818972407856,1,21,2,0,1,1,1,1,2.380976793206102,14.85386962595608,1,12,1,0,1,1,1,1,58.37653278596725,0.0,1,0,0,0,1,1,0,0,33.89097182682855,8.41014742354772,1,8,0,0,1,1,0,0,5.468397059129444,63.046800265547745,1,7,2,0,1,1,1,1,20.176727048193907,46.892380577272924,1,11,2,0,1,1,1,1,20.176727048193932,46.89238057727289,1,10,1,0,1,1,1,1,10.733230103478858,20.2618030646887,1,6,1,0,1,1,1,1,29.81127767384012,14.790177583043054,1,2,1,0,1,1,1,1,48.32524568000372,27.995029197673016,1,8,1,0,1,1,1,1,34.78101678078501,26.930666415879006,1,8,1,0,1,1,1,1,20.26180306468882,22.979137377711837,1,6,1,0,1,1,1,1,20.694535761794402,7.386674108441251,1,5,0,0,1,1,1,1,26.99852800013016,8.201084267765907,1,5,1,0,1,1,1,1,11.30528445712304,48.81159097458356,1,8,0,0,1,1,1,1,21.101837246414817,48.82477202096866,1,15,0,0,1,1,0,1,17.52542210673483,0.0,1,0,0,0,1,1,0,0,11.305284457122998,27.216348970300157,1,10,2,0,1,1,0,0,17.373846735015434,3.2514972792884125,1,1,0,0,1,1,1,1,24.49930849727879,4.686126228665062,1,0,0,0,1,1,1,1,22.76710409571983,6.980034172766859,1,8,0,0,1,1,1,1,371544.0
1,1,32,0.005434531851258905,2.0,0.022752595309092936,68.2198303910646,13.817170265403508,1,0,0,0,1,1,1,1,68.21983039106465,13.817170265403508,1,6,0,0,1,1,1,1,4.052011400462464,9.375650232450477,1,3,0,0,1,1,1,1,9.375650232450552,19.81585768896595,1,12,0,0,1,1,1,1,8.81000095185034,88.46898062279777,1,13,3,0,1,1,1,1,8.810000951850325,88.46898062279777,1,14,2,0,1,1,1,1,56.339665366463684,2.4438704291558055,1,2,0,0,1,1,1,1,80.16699041592426,21.278590793281964,1,8,0,0,1,1,1,1,1.2440733476152923,32.70671132770061,1,8,0,0,1,1,1,1,16.71309500431473,56.98993122485171,1,2,0,0,1,1,1,1,14.950576266296823,50.19818972407856,1,21,2,0,1,1,1,1,2.380976793206102,14.85386962595608,1,12,1,0,1,1,1,1,58.37653278596725,0.0,1,0,0,0,1,1,0,0,33.89097182682855,8.41014742354772,1,8,0,0,1,1,0,0,5.468397059129444,63.046800265547745,1,7,2,0,1,1,1,1,20.176727048193907,46.892380577272924,1,11,2,0,1,1,1,1,20.176727048193932,46.89238057727289,1,10,1,0,1,1,1,1,10.733230103478858,20.2618030646887,1,6,1,0,1,1,1,1,29.81127767384012,14.790177583043054,1,2,1,0,1,1,1,1,48.32524568000372,27.995029197673016,1,8,1,0,1,1,1,1,34.78101678078501,26.930666415879006,1,8,1,0,1,1,1,1,20.26180306468882,22.979137377711837,1,6,1,0,1,1,1,1,20.694535761794402,7.386674108441251,1,5,0,0,1,1,1,1,26.99852800013016,8.201084267765907,1,5,1,0,1,1,1,1,11.30528445712304,48.81159097458356,1,8,0,0,1,1,1,1,21.101837246414817,48.82477202096866,1,15,0,0,1,1,0,1,17.52542210673483,0.0,1,0,0,0,1,1,0,1,11.305284457122998,27.216348970300157,1,10,2,0,1,1,0,0,17.373846735015434,3.2514972792884125,1,1,0,0,1,1,1,1,24.49930849727879,4.686126228665062,1,0,0,0,1,1,1,1,22.76710409571983,6.980034172766859,1,8,0,0,1,1,1,1,371544.0
1,1,33,0.005309466295879486,2.0,0.022752595309092936,68.2198303910646,13.817170265403508,1,0,0,0,1,1,1,1,68.21983039106465,13.817170265403508,1,6,0,0,1,1,1,1,4.052011400462464,9.375650232450477,1,3,0,0,1,1,1,1,9.375650232450552,19.81585768896595,1,12,0,0,1,1,1,1,8.81000095185034,88.46898062279777,1,13,3,0,1,1,1,1,8.810000951850325,88.46898062279777,1,14,2,0,1,1,1,1,56.339665366463684,2.4438704291558055,1,2,0,0,1,1,1,1,80.16699041592426,21.278590793281964,1,8,0,0,1,1,1,1,1.2440733476152923,32.70671132770061,1,8,0,0,1,1,1,1,16.71309500431473,56.98993122485171,1,2,0,0,1,1,1,1,14.950576266296823,50.19818972407856,1,21,2,0,1,1,1,1,2.380976793206102,14.85386962595608,1,12,1,0,1,1,1,1,58.37653278596725,0.0,1,0,0,0,1,1,0,0,33.89097182682855,8.41014742354772,1,8,0,0,1,1,0,1,5.468397059129444,63.046800265547745,1,7,2,0,1,1,1,1,20.176727048193907,46.892380577272924,1,11,2,0,1,1,1,1,20.176727048193932,46.89238057727289,1,10,1,0,1,1,1,1,10.733230103478858,20.2618030646887,1,6,1,0,1,1,1,1,29.81127767384012,14.790177583043054,1,2,1,0,1,1,1,1,48.32524568000372,27.995029197673016,1,8,1,0,1,1,1,1,34.78101678078501,26.930666415879006,1,8,1,0,1,1,1,1,20.26180306468882,22.979137377711837,1,6,1,0,1,1,1,1,20.694535761794402,7.386674108441251,1,5,0,0,1,1,1,1,26.99852800013016,8.201084267765907,1,5,1,0,1,1,1,1,11.30528445712304,48.81159097458356,1,8,0,0,1,1,1,1,21.101837246414817,48.82477202096866,1,15,0,0,1,1,0,1,17.52542210673483,0.0,1,0,0,0,1,1,0,0,11.305284457122998,27.216348970300157,1,10,2,0,1,1,0,0,17.373846735015434,3.2514972792884125,1,1,0,0,1,1,1,1,24.49930849727879,4.686126228665062,1,0,0,0,1,1,1,1,22.76710409571983,6.980034172766859,1,8,0,0,1,1,1,1,371545.0
1,1,34,0.005338805546638685,2.0,0.022752595309092936,68.2198303910646,13.817170265403508,1,0,0,0,1,1,1,1,68.21983039106465,13.817170265403508,1,6,0,0,1,1,1,1,4.052011400462464,9.375650232450477,1,3,0,0,1,1,1,1,9.375650232450552,19.81585768896595,1,12,0,0,1,1,1,1,8.81000095185034,88.46898062279777,1,13,3,0,1,1,1,1,8.810000951850325,88.46898062279777,1,14,2,0,1,1,1,1,56.339665366463684,2.4438704291558055,1,2,0,0,1,1,1,1,80.16699041592426,21.278590793281964,1,8,0,0,1,1,1,1,1.2440733476152923,32.70671132770061,1,8,0,0,1,1,1,1,16.71309500431473,56.98993122485171,1,2,0,0,1,1,1,1,14.950576266296823,50.19818972407856,1,21,2,0,1,1,1,1,2.380976793206102,14.85386962595608,1,12,1,0,1,1,1,1,58.37653278596725,0.0,1,0,0,0,1,1,0,0,33.89097182682855,8.41014742354772,1,8,0,0,1,1,0,0,5.468397059129444,63.046800265547745,1,7,2,0,1,1,1,1,20.176727048193907,46.892380577272924,1,11,2,0,1,1,1,1,20.176727048193932,46.89238057727289,1,10,1,0,1,1,1,1,10.733230103478858,20.2618030646887,1,6,1,0,1,1,1,1,29.81127767384012,14.790177583043054,1,2,1,0,1,1,1,1,48.32524568000372,27.995029197673016,1,8,1,0,1,1,1,1,34.78101678078501,26.930666415879006,1,8,1,0,1,1,1,1,20.26180306468882,22.979137377711837,1,6,1,0,1,1,1,1,20.694535761794402,7.386674108441251,1,5,0,0,1,1,1,1,26.99852800013016,8.201084267765907,1,5,1,0,1,1,1,1,11.30528445712304,48.81159097458356,1,8,0,0,1,1,1,1,21.101837246414817,48.82477202096866,1,15,0,0,1,1,0,1,17.52542210673483,0.0,0,0,0,0,1,0,0,0,11.305284457122998,27.216348970300157,1,10,2,0,1,1,0,0,17.373846735015434,3.2514972792884125,1,1,0,0,1,1,1,1,24.49930849727879,4.686126228665062,1,0,0,0,1,1,1,1,22.76710409571983,6.980034172766859,1,8,0,0,1,1,1,1,371545.0
1,1,40,0.005205849626404486,2.0,0.02196993708893178,68.2198303910646,12.829389354611632,1,0,0,0,1,0,1,1,68.21983039106465,14.808359349460765,1,6,0,0,1,1,1,1,4.052011400462464,9.375650232450853,1,3,0,0,1,1,1,1,9.375650232450552,19.81585768896576,1,12,0,0,1,1,1,1,8.81000095185034,88.46898062279834,1,13,3,0,1,1,1,1,8.810000951850325,88.46898062279843,1,14,2,0,1,1,1,1,56.339665366463684,2.4438704291556697,1,2,0,0,1,1,1,1,80.16699041592426,21.278590793282067,1,8,0,0,1,1,1,1,1.2440733476152923,32.70671132770106,1,8,0,0,1,1,1,1,16.71309500431473,56.989931224852306,1,2,0,0,1,1,1,1,14.950576266296823,50.198189724078915,1,21,2,0,1,1,1,1,2.380976793206102,14.853869625956168,1,12,1,0,1,1,1,1,58.37653278596725,0.0,1,0,0,0,1,1,0,0,33.89097182682855,8.41014742354772,1,8,0,0,1,1,0,0,5.468397059129444,63.046800265547596,1,7,2,0,1,1,1,1,20.176727048193907,46.89238057727297,1,11,2,0,1,1,1,1,20.176727048193932,46.89238057727299,1,10,1,0,1,1,1,1,10.733230103478858,20.26180306468873,1,6,1,0,1,1,1,1,29.81127767384012,14.79017758304311,1,2,1,0,1,1,1,1,48.32524568000372,27.995029197672967,1,8,1,0,1,1,1,1,34.78101678078501,26.930666415879024,1,8,1,0,1,1,1,1,20.26180306468882,22.979137377711787,1,6,1,0,1,1,1,1,20.694535761794402,7.3866741084412375,1,5,0,0,1,1,1,1,26.99852800013016,8.20108426776589,1,5,1,0,1,1,1,1,11.30528445712304,48.81159097458352,1,8,0,0,1,1,1,1,21.101837246414817,48.824772020968496,1,15,0,0,1,1,0,1,17.52542210673483,2.245832566187198E-14,1,0,0,0,1,1,0,0,11.305284457122998,27.216348970300146,1,10,2,0,1,1,0,0,17.373846735015434,3.25149727928837,1,1,0,0,1,1,1,1,24.49930849727879,4.686126228665017,1,0,0,0,1,1,1,1,22.76710409571983,6.9800341727668025,1,8,0,0,1,1,1,1,254788.0
1,1,41,0.005411238192979051,1.0,0.02196993708893178,68.2198303910646,12.829389354611632,1,0,0,0,1,1,1,1,68.21983039106465,14.808359349460765,1,6,0,0,1,1,1,1,4.052011400462464,9.375650232450853,1,3,0,0,1,1,1,1,9.375650232450552,19.81585768896576,1,12,0,0,1,1,1,1,8.81000095185034,88.46898062279834,1,13,3,0,1,1,1,1,8.810000951850325,88.46898062279843,1,14,2,0,1,1,1,1,56.339665366463684,2.4438704291556697,1,2,0,0,1,1,1,1,80.16699041592426,21.278590793282067,1,8,0,0,1,1,1,1,1.2440733476152923,32.70671132770106,1,8,0,0,1,1,1,1,16.71309500431473,56.989931224852306,1,2,0,0,1,1,1,1,14.950576266296823,50.198189724078915,1,21,2,0,1,1,1,1,2.380976793206102,14.853869625956168,1,12,1,0,1,1,1,1,58.37653278596725,0.0,1,0,0,0,1,1,0,0,33.89097182682855,8.41014742354772,1,8,0,0,1,1,0,0,5.468397059129444,63.046800265547596,1,7,2,0,1,1,1,1,20.176727048193907,46.89238057727297,1,11,2,0,1,1,1,1,20.176727048193932,46.89238057727299,1,10,1,0,1,1,1,1,10.733230103478858,20.26180306468873,1,6,1,0,1,1,1,1,29.81127767384012,14.79017758304311,1,2,1,0,1,1,1,1,48.32524568000372,27.995029197672967,1,8,1,0,1,1,1,1,34.78101678078501,26.930666415879024,1,8,1,0,1,1,1,1,20.26180306468882,22.979137377711787,1,6,1,0,1,1,1,1,20.694535761794402,7.3866741084412375,1,5,0,0,1,1,1,1,26.99852800013016,8.20108426776589,1,5,1,0,1,1,1,1,11.30528445712304,48.81159097458352,1,8,0,0,1,1,1,1,21.101837246414817,48.824772020968496,1,15,0,0,1,1,0,1,17.52542210673483,2.245832566187198E-14,1,0,0,0,1,1,0,0,11.305284457122998,27.216348970300146,1,10,2,0,1,1,0,0,17.373846735015434,3.25149727928837,1,1,0,0,1,1,1,1,24.49930849727879,4.686126228665017,1,0,0,0,1,1,1,1,22.76710409571983,6.9800341727668025,1,8,0,0,1,1,1,1,254788.0
1,1,42,0.005868463517966635,3.0,0.02196993708893178,68.2198303910646,12.829389354611632,1,0,0,0,1,0,1,1,68.21983039106465,14.808359349460765,1,6,0,0,1,1,1,1,4.052011400462464,9.375650232450853,1,3,0,0,1,1,1,1,9.375650232450552,19.81585768896576,1,12,0,0,1,1,1,1,8.81000095185034,88.46898062279834,1,13,3,0,1,1,1,1,8.810000951850325,88.46898062279843,1,14,2,0,1,1,1,1,56.339665366463684,2.4438704291556697,1,2,0,0,1,1,1,1,80.16699041592426,21.278590793282067,1,8,0,0,1,1,1,1,1.2440733476152923,32.70671132770106,1,8,0,0,1,1,1,1,16.71309500431473,56.989931224852306,1,2,0,0,1,1,1,1,14.950576266296823,50.198189724078915,1,21,2,0,1,1,1,1,2.380976793206102,14.853869625956168,1,12,1,0,1,1,1,1,58.37653278596725,0.0,1,0,0,0,1,1,0,0,33.89097182682855,8.41014742354772,1,8,0,0,1,1,0,0,5.468397059129444,63.046800265547596,1,7,2,0,1,1,1,1,20.176727048193907,46.89238057727297,1,11,2,0,1,1,1,1,20.176727048193932,46.89238057727299,1,10,1,0,1,1,1,1,10.733230103478858,20.26180306468873,1,6,1,0,1,1,1,0,29.81127767384012,14.79017758304311,1,2,1,0,1,1,1,1,48.32524568000372,27.995029197672967,1,8,1,0,1,1,1,1,34.78101678078501,26.930666415879024,1,8,1,0,1,1,1,1,20.26180306468882,22.979137377711787,1,6,1,0,1,1,1,1,20.694535761794402,7.3866741084412375,1,5,0,0,1,1,1,1,26.99852800013016,8.20108426776589,1,5,1,0,1,1,1,1,11.30528445712304,48.81159097458352,1,8,0,0,1,1,1,1,21.101837246414817,48.824772020968496,1,15,0,0,1,1,0,1,17.52542210673483,2.245832566187198E-14,1,0,0,0,1,1,0,0,11.305284457122998,27.216348970300146,1,10,2,0,1,1,0,0,17.373846735015434,3.25149727928837,1,1,0,0,1,1,1,1,24.49930849727879,4.686126228665017,1,0,0,0,1,1,1,1,22.76710409571983,6.9800341727668025,1,8,0,0,1,1,1,1,254789.0
1,1,43,0.0052971329056801355,2.0,0.02196993708893178,68.2198303910646,12.829389354611632,1,0,0,0,1,1,1,1,68.21983039106465,14.808359349460765,1,6,0,0,1,1,1,1,4.052011400462464,9.375650232450853,1,3,0,0,1,1,1,1,9.375650232450552,19.81585768896576,1,12,0,0,1,1,1,1,8.81000095185034,88.46898062279834,1,13,3,0,1,1,1,1,8.810000951850325,88.46898062279843,1,14,2,0,1,1,1,1,56.339665366463684,2.4438704291556697,1,2,0,0,1,1,1,1,80.16699041592426,21.278590793282067,1,8,0,0,1,1,1,1,1.2440733476152923,32.70671132770106,1,8,0,0,1,1,1,1,16.71309500431473,56.989931224852306,1,2,0,0,1,1,1,1,14.950576266296823,50.198189724078915,1,21,2,0,1,1,1,1,2.380976793206102,14.853869625956168,1,12,1,0,1,1,1,1,58.37653278596725,0.0,1,0,0,0,1,1,0,0,33.89097182682855,8.41014742354772,1,8,0,0,1,1,0,0,5.468397059129444,63.046800265547596,1,7,2,0,1,1,1,1,20.176727048193907,46.89238057727297,1,11,2,0,1,1,1,1,20.176727048193932,46.89238057727299,1,10,1,0,1,1,1,1,10.733230103478858,20.26180306468873,1,6,1,0,1,1,1,1,29.81127767384012,14.79017758304311,1,2,1,0,1,1,1,1,48.32524568000372,27.995029197672967,1,8,1,0,1,1,1,1,34.78101678078501,26.930666415879024,1,8,1,0,1,1,1,1,20.26180306468882,22.979137377711787,1,6,1,0,1,1,1,1,20.694535761794402,7.3866741084412375,1,5,0,0,1,1,1,1,26.99852800013016,8.20108426776589,1,5,1,0,1,1,1,1,11.30528445712304,48.81159097458352,1,8,0,0,1,1,1,1,21.101837246414817,48.824772020968496,1,15,0,0,1,1,0,1,17.52542210673483,2.245832566187198E-14,1,0,0,0,1,1,0,1,11.305284457122998,27.216348970300146,1,10,2,0,1,1,0,0,17.373846735015434,3.25149727928837,1,1,0,0,1,1,1,1,24.49930849727879,4.686126228665017,1,0,0,0,1,1,1,1,22.76710409571983,6.9800341727668025,1,8,0,0,1,1,1,1,254789.0
1,1,44,0.005907049368862014,3.0,0.02196993708893178,68.2198303910646,12.829389354611632,1,0,0,0,1,0,1,1,68.21983039106465,14.808359349460765,1,6,0,0,1,1,1,1,4.052011400462464,9.375650232450853,1,3,0,0,1,1,1,1,9.375650232450552,19.81585768896576,1,12,0,0,1,1,1,1,8.81000095185034,88.46898062279834,1,13,3,0,1,1,1,1,8.810000951850325,88.46898062279843,1,14,2,0,1,1,1,1,56.339665366463684,2.4438704291556697,1,2,0,0,1,1,1,1,80.16699041592426,21.278590793282067,1,8,0,0,1,1,1,1,1.2440733476152923,32.70671132770106,1,8,0,0,1,1,1,1,16.71309500431473,56.989931224852306,1,2,0,0,1,1,1,1,14.950576266296823,50.198189724078915,1,21,2,0,1,1,1,1,2.380976793206102,14.853869625956168,1,12,1,0,1,1,1,1,58.37653278596725,0.0,1,0,0,0,1,1,0,0,33.89097182682855,8.41014742354772,1,8,0,0,1,1,0,0,5.468397059129444,63.046800265547596,1,7,2,0,1,1,1,1,20.176727048193907,46.89238057727297,1,11,2,0,1,1,1,1,20.176727048193932,46.89238057727299,1,10,1,0,1,1,1,1,10.733230103478858,20.26180306468873,1,6,1,0,1,1,1,1,29.81127767384012,14.79017758304311,1,2,1,0,1,1,1,1,48.32524568000372,27.995029197672967,1,8,1,0,1,1,1,1,34.78101678078501,26.930666415879024,1,8,1,0,1,1,1,0,20.26180306468882,22.979137377711787,1,6,1,0,1,1,1,1,20.694535761794402,7.3866741084412375,1,5,0,0,1,1,1,1,26.99852800013016,8.20108426776589,1,5,1,0,1,1,1,1,11.30528445712304,48.81159097458352,1,8,0,0,1,1,1,1,21.101837246414817,48.824772020968496,1,15,0,0,1,1,0,1,17.52542210673483,2.245832566187198E-14,1,0,0,0,1,1,0,0,11.305284457122998,27.216348970300146,1,10,2,0,1,1,0,0,17.373846735015434,3.25149727928837,1,1,0,0,1,1,1,1,24.49930849727879,4.686126228665017,1,0,0,0,1,1,1,1,22.76710409571983,6.9800341727668025,1,8,0,0,1,1,1,1,254789.0
1,1,50,0.00504650507802046,2.0,0.022775087247223054,68.2198303910646,13.817170265403508,1,0,0,0,1,1,1,1,68.21983039106465,13.817170265403508,1,6,0,0,1,1,1,1,4.052011400462464,9.375650232450477,1,3,0,0,1,1,1,1,9.375650232450552,19.81585768896595,1,12,0,0,1,1,1,1,8.81000095185034,88.46898062279777,1,13,3,0,1,1,1,1,8.810000951850325,88.46898062279777,1,14,2,0,1,1,1,1,56.339665366463684,2.4438704291558055,1,2,0,0,1,1,1,1,80.16699041592426,21.278590793281964,1,8,0,0,1,1,1,1,1.2440733476152923,32.70671132770061,1,8,0,0,1,1,1,1,16.71309500431473,56.98993122485171,1,2,0,0,1,1,1,1,14.950576266296823,50.19818972407856,1,21,2,0,1,1,1,1,2.380976793206102,14.85386962595608,1,12,1,0,1,1,1,1,58.37653278596725,0.0,1,0,0,0,1,1,0,0,33.89097182682855,8.41014742354772,1,8,0,0,1,1,0,0,5.468397059129444,54.766929493095994,1,7,2,0,1,1,1,1,20.176727048193907,46.8923805772728,1,11,2,0,1,1,1,1,20.176727048193932,46.89238057727271,1,10,1,0,1,1,1,1,10.733230103478858,20.26180306468873,1,6,1,0,1,1,1,1,29.81127767384012,14.790177583042876,1,2,1,0,1,1,1,1,48.32524568000372,38.557284083804795,1,8,1,0,1,1,1,1,34.78101678078501,26.930666415878974,1,8,1,0,1,1,1,1,20.26180306468882,22.97913737771174,1,6,1,0,1,1,1,1,20.694535761794402,7.386674108441249,1,5,0,0,1,1,1,1,26.99852800013016,8.201084267765868,1,5,1,0,1,1,1,1,11.30528445712304,48.81159097458359,1,8,0,0,1,1,1,1,21.101837246414817,28.548860147744087,1,15,0,0,1,1,0,1,17.52542210673483,27.787557210470897,1,0,0,0,1,1,0,1,11.305284457122998,27.216348970300185,1,10,2,0,1,1,0,0,17.373846735015434,3.2514972792883823,1,1,0,0,1,1,1,1,24.49930849727879,4.686126228665115,1,0,0,0,1,1,1,1,22.76710409571983,6.980034172766915,1,8,0,0,1,1,1,1,260477.0
